GeoFips,GeoName,LineCode,Description,2023
11260,"Anchorage, AK (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",103.470
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,RPPs: All items,97.968
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,"  RPPs: Goods",93.313
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",112.020
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",97.807
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.880
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",1,RPPs: All items,87.218
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.052
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",49.699
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",91.158
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.684
11540,"Appleton, WI (Metropolitan Statistical Area)",1,RPPs: All items,93.597
11540,"Appleton, WI (Metropolitan Statistical Area)",2,"  RPPs: Goods",93.114
11540,"Appleton, WI (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",81.642
11540,"Appleton, WI (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",90.403
11540,"Appleton, WI (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.969
11700,"Asheville, NC (Metropolitan Statistical Area)",1,RPPs: All items,96.129
11700,"Asheville, NC (Metropolitan Statistical Area)",2,"  RPPs: Goods",96.458
11700,"Asheville, NC (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",92.433
11700,"Asheville, NC (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",84.231
11700,"Asheville, NC (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.136
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,RPPs: All items,93.278
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.911
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",77.864
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",88.107
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.049
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1,RPPs: All items,100.933
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2,"  RPPs: Goods",99.758
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",110.864
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",98.092
